order,name,abbr,chapter_id
1,Genesis,Gen,eng-GNBDC:Gen
2,Exodus,Exod,eng-GNBDC:Exod
3,Leviticus,Lev,eng-GNBDC:Lev
4,Numbers,Num,eng-GNBDC:Num
5,Deuteronomy,Deut,eng-GNBDC:Deut
6,Joshua,Josh,eng-GNBDC:Josh
7,Judges,Judg,eng-GNBDC:Judg
8,Ruth,Ruth,eng-GNBDC:Ruth
9,1 Samuel,1Sam,eng-GNBDC:1Sam
10,2 Samuel,2Sam,eng-GNBDC:2Sam
11,1 Kings,1Kgs,eng-GNBDC:1Kgs
12,2 Kings,2Kgs,eng-GNBDC:2Kgs
13,1 Chronicles,1Chr,eng-GNBDC:1Chr
14,2 Chronicles,2Chr,eng-GNBDC:2Chr
15,Ezra,Ezra,eng-GNBDC:Ezra
16,Nehemiah,Neh,eng-GNBDC:Neh
17,Esther,Esth,eng-GNBDC:Esth
18,Job,Job,eng-GNBDC:Job
19,Psalms,Ps,eng-GNBDC:Ps
20,Proverbs,Prov,eng-GNBDC:Prov
21,Ecclesiastes,Eccl,eng-GNBDC:Eccl
22,Song of Songs,Song,eng-GNBDC:Song
23,Isaiah,Isa,eng-GNBDC:Isa
24,Jeremiah,Jer,eng-GNBDC:Jer
25,Lamentations,Lam,eng-GNBDC:Lam
26,Ezekiel,Ezek,eng-GNBDC:Ezek
27,Daniel,Dan,eng-GNBDC:Dan
28,Hosea,Hos,eng-GNBDC:Hos
29,Joel,Joel,eng-GNBDC:Joel
30,Amos,Amos,eng-GNBDC:Amos
31,Obadiah,Obad,eng-GNBDC:Obad
32,Jonah,Jonah,eng-GNBDC:Jonah
33,Micah,Mic,eng-GNBDC:Mic
34,Nahum,Nah,eng-GNBDC:Nah
35,Habakkuk,Hab,eng-GNBDC:Hab
36,Zephaniah,Zeph,eng-GNBDC:Zeph
37,Haggai,Hag,eng-GNBDC:Hag
38,Zechariah,Zech,eng-GNBDC:Zech
39,Malachi,Mal,eng-GNBDC:Mal
40,Tobit,Tob,eng-GNBDC:Tob
41,Judith,Jdt,eng-GNBDC:Jdt
42,Greek Esther,AddEsth,eng-GNBDC:AddEsth
43,Wisdom,Wis,eng-GNBDC:Wis
44,Sirach (Ecclesiasticus),Sir,eng-GNBDC:Sir
45,Baruch,Bar,eng-GNBDC:Bar
46,Letter of Jeremiah,EpJer,eng-GNBDC:EpJer
47,Prayer of Azariah and the Song of the Three Young Men,PrAzar,eng-GNBDC:PrAzar
48,Susanna,Sus,eng-GNBDC:Sus
49,Bel and the Dragon,Bel,eng-GNBDC:Bel
50,1 Maccabees,1Macc,eng-GNBDC:1Macc
51,2 Maccabees,2Macc,eng-GNBDC:2Macc
52,1 Esdras,1Esd,eng-GNBDC:1Esd
53,2 Esdras,2Esd,eng-GNBDC:2Esd
54,Prayer of Manasseh,PrMan,eng-GNBDC:PrMan
55,Matthew,Matt,eng-GNBDC:Matt
56,Mark,Mark,eng-GNBDC:Mark
57,Luke,Luke,eng-GNBDC:Luke
58,John,John,eng-GNBDC:John
59,Acts,Acts,eng-GNBDC:Acts
60,Romans,Rom,eng-GNBDC:Rom
61,1 Corinthians,1Cor,eng-GNBDC:1Cor
62,2 Corinthians,2Cor,eng-GNBDC:2Cor
63,Galatians,Gal,eng-GNBDC:Gal
64,Ephesians,Eph,eng-GNBDC:Eph
65,Philippians,Phil,eng-GNBDC:Phil
66,Colossians,Col,eng-GNBDC:Col
67,1 Thessalonians,1Thess,eng-GNBDC:1Thess
68,2 Thessalonians,2Thess,eng-GNBDC:2Thess
69,1 Timothy,1Tim,eng-GNBDC:1Tim
70,2 Timothy,2Tim,eng-GNBDC:2Tim
71,Titus,Titus,eng-GNBDC:Titus
72,Philemon,Phlm,eng-GNBDC:Phlm
73,Hebrews,Heb,eng-GNBDC:Heb
74,James,Jas,eng-GNBDC:Jas
75,1 Peter,1Pet,eng-GNBDC:1Pet
76,2 Peter,2Pet,eng-GNBDC:2Pet
77,1 John,1John,eng-GNBDC:1John
78,2 John,2John,eng-GNBDC:2John
79,3 John,3John,eng-GNBDC:3John
80,Jude,Jude,eng-GNBDC:Jude
81,Revelation,Rev,eng-GNBDC:Rev
